;title;companyname;location;duration;salary;date;joblink;jobskills
0;expertise-poste-de-travail-1666522;"
                    Pixie Services France ";Nanterre;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/expertise-poste-de-travail-1666522;['azure', 'sql', 'powershell', 'tsql']
1;data-engineer-1666470;"
                    Pixie Services France ";Nanterre;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/data-engineer-1666470;['power bi', 'azure', 'sql', 'oracle']
2;business-analyst-dynamics-1666222;"
                    Pixie Services France ";Lyon;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/business-analyst-dynamics-1666222;[]
3;data-manager-finance-1666217;"
                    Pixie Services France ";Lyon;12 mois; Tarif non renseigné;10/02/2022;https://www.freelance-info.fr/mission/data-manager-finance-1666217;['powerbi']
4;data-architect-1666167;"
                    Pixie Services France ";Lyon;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/data-architect-1666167;['sql']
5;database-administrator-senior-1666162;"
                    Pixie Services France ";Lyon;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/database-administrator-senior-1666162;['sql']
6;software-architect-tooling-1666157;"
                    Pixie Services France ";Paris;2 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/software-architect-tooling-1666157;['github', 'gitlab', 'power bi', 'docker', 'ci/cd', ' sas']
7;software-architect-front-end-web-1666155;"
                    Pixie Services France ";Paris;2 années; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/software-architect-front-end-web-1666155;['java', 'anglais', ' sas']
8;software-architect-backend-api-1666153;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/software-architect-backend-api-1666153;['github', 'gitlab', 'aws', 'azure', 'docker', 'gcp', 'ci/cd', ' sas', 'microservice']
9;data-engineer-azure-1663961;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/data-engineer-azure-1663961;['github', 'azure', 'python', 'data lake', 'databricks', 'datawarehouse', 'jira', 'agile', 'modélisation', 'cartographie', 'scala', ' sas']
10;consultant-securite-iam-1663913;"
                    Pixie Services France ";Clichy;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-securite-iam-1663913;[]
11;architecte-cloud-azure-1663919;"
                    Pixie Services France ";Clichy;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/architecte-cloud-azure-1663919;['azure']
12;mission-sap-mm-1663823;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/mission-sap-mm-1663823;['anglais', ' sas']
13;ingenieur-reseaux-et-securite-1666109;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/ingenieur-reseaux-et-securite-1666109;['oracle', 'vpn', 'cartographie']
14;chef-de-projet-infrastructure-1666106;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-infrastructure-1666106;['tableau', 'agile', 'tableaux de bord', 'itil', ' sas']
15;pixie-sap-apo-snp-ibp-si-possible-1665891;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/pixie-sap-apo-snp-ibp-si-possible-1665891;['anglais', ' sas']
16;azure-data-devops-1665848;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/azure-data-devops-1665848;['azure', 'docker', 'python', 'sql', 'databricks', 'postgresql', 'powershell']
17;chef-de-projet-moa-1663541;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/chef-de-projet-moa-1663541;['modélisation']
18;mission-developpeur-sap-bw-mission-long-terme-1663525;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/mission-developpeur-sap-bw-mission-long-terme-1663525;[]
19;tech-lead-frontend-angular-typescript-1663427;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/tech-lead-frontend-angular-typescript-1663427;['aws', 'agile']
20;sap-enable-now-1665428;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/sap-enable-now-1665428;['anglais']
21;consultant-sap-sd-mission-longue-1665319;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-sap-sd-mission-longue-1665319;['anglais']
22;consultant-sap-mm-remote-1665306;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-sap-mm-remote-1665306;[]
23;consultant-sap-cs-remote-1665304;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-sap-cs-remote-1665304;[]
24;renfort-expertise-sauvegarde-et-stockage-niveau-1665241;"
                    Pixie Services France ";Valenciennes;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/renfort-expertise-sauvegarde-et-stockage-niveau-1665241;['itil']
25;renfort-expertise-vmware-windows-niveau-1665237;"
                    Pixie Services France ";Valenciennes;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/renfort-expertise-vmware-windows-niveau-1665237;['itil', ' sas']
26;data-analyst-senior-1663217;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/data-analyst-senior-1663217;['gcp', ' sas']
27;mission-sap-sd-le-1663010;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/mission-sap-sd-le-1663010;[]
28;mission-sap-isu-1665038;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/mission-sap-isu-1665038;[]
29;consultant-technique-architecte-sap-1664898;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;09/02/2022;https://www.freelance-info.fr/mission/consultant-technique-architecte-sap-1664898;['anglais']
30;stream-lead-sap-mm-sd-is-retail-1664893;"
                    Pixie Services France ";Télétravail;7 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/stream-lead-sap-mm-sd-is-retail-1664893;['anglais', ' sas']
31;dev-sharepoint-consultant-sharepoint-1662939;"
                    Pixie Services France ";Télétravail;7 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/dev-sharepoint-consultant-sharepoint-1662939;[' sas']
32;azure-technical-leader-1662672;"
                    Pixie Services France ";Télétravail;10 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/azure-technical-leader-1662672;['azure', 'docker', 'python', 'sql', 'databricks', 'postgresql', ' sas', 'powershell']
33;network-security-engineer-1664859;"
                    Pixie Services France ";Télétravail;10 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/network-security-engineer-1664859;['anglais', 'itil']
34;ingenieur-systemes-et-reseaux-n-1664797;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/ingenieur-systemes-et-reseaux-n-1664797;['sql', 'apache', 'mysql', 'mariadb', 'powershell', 'linux']
35;sap-master-data-1664785;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/sap-master-data-1664785;[]
36;consultant-technico-fonctionnel-crm-dynamics-1664554;"
                    Pixie Services France ";Lille;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/consultant-technico-fonctionnel-crm-dynamics-1664554;['sql', ' ssis']
37;lead-tech-infrastructures-systeme-et-reseaux-n-1664501;"
                    Pixie Services France ";Lille;3 années; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/lead-tech-infrastructures-systeme-et-reseaux-n-1664501;['sql', 'apache', 'itil', 'mysql', 'mariadb', 'powershell', 'linux']
38;pixie-consultant-sap-sd-la-defense-asap-mois-1664494;"
                    Pixie Services France ";Nantes;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/pixie-consultant-sap-sd-la-defense-asap-mois-1664494;['anglais']
39;expert-mft-go-1662419;"
                    Pixie Services France ";Nantes;6 mois; Tarif non renseigné;08/02/2022;https://www.freelance-info.fr/mission/expert-mft-go-1662419;[' sas']
40;expert-hip-mft-incident-1662422;"
                    Pixie Services France ";Lyon;10 jours; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/expert-hip-mft-incident-1662422;[' sas']
41;expert-middleware-api-1662424;"
                    Pixie Services France ";Lyon;10 jours; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/expert-middleware-api-1662424;['gitlab', 'kafka', 'terraform', 'tomcat', 'jboss', ' sas']
42;it-tester-1661795;"
                    Pixie Services France ";FRANCE (Pays);10 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/it-tester-1661795;['azure', 'sql', 'agile', 'scrum']
43;consultant-sap-mdm-mdg-1661517;"
                    Pixie Services France ";FRANCE (Pays);10 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/consultant-sap-mdm-mdg-1661517;[]
44;consultant-sap-data-migration-technico-fonctionnel-1661496;"
                    Pixie Services France ";Télétravail;2 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/consultant-sap-data-migration-technico-fonctionnel-1661496;[]
45;analyste-dwh-data-modelisation-design-integration-1661374;"
                    Pixie Services France ";Télétravail;2 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/analyste-dwh-data-modelisation-design-integration-1661374;['modélisation', ' sas']
46;developpeur-asp-net-mvc-1661323;"
                    Pixie Services France ";Télétravail;2 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/developpeur-asp-net-mvc-1661323;[' sas']
47;ingenieur-modern-workplace-sccm-1661307;"
                    Pixie Services France ";Télétravail;2 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/ingenieur-modern-workplace-sccm-1661307;[]
48;consultants-sap-co-1661185;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/consultants-sap-co-1661185;['anglais']
49;expert-technique-sccm-1660864;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/expert-technique-sccm-1660864;[]
50;developpeur-android-kotlin-java-confirme-1660663;"
                    Pixie Services France ";Lyon;12 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/developpeur-android-kotlin-java-confirme-1660663;['java', 'agile', 'sonar', 'anglais']
51;developpeur-sharepoint-online-1660458;"
                    Pixie Services France ";Lyon;12 mois; Tarif non renseigné;07/02/2022;https://www.freelance-info.fr/mission/developpeur-sharepoint-online-1660458;[]
52;data-engineer-1660261;"
                    Pixie Services France ";Lille;12 mois; Tarif non renseigné;05/02/2022;https://www.freelance-info.fr/mission/data-engineer-1660261;['azure', 'data lake']
53;dba-datawarehouse-admin-1660256;"
                    Pixie Services France ";Lille;12 mois; Tarif non renseigné;05/02/2022;https://www.freelance-info.fr/mission/dba-datawarehouse-admin-1660256;['azure', 'data lake']
54;data-transformation-tech-lead-1660260;"
                    Pixie Services France ";Lille;1 année; Tarif non renseigné;05/02/2022;https://www.freelance-info.fr/mission/data-transformation-tech-lead-1660260;['azure', 'data lake']
55;tech-lead-design-autority-infra-secu-data-warehouse-1660250;"
                    Pixie Services France ";Lille;1 année; Tarif non renseigné;05/02/2022;https://www.freelance-info.fr/mission/tech-lead-design-autority-infra-secu-data-warehouse-1660250;['azure', 'data lake', ' sas']
56;data-devops-engineer-1660252;"
                    Pixie Services France ";Paris;1 année; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/data-devops-engineer-1660252;['azure', 'data lake', ' sas']
57;architecte-technique-1660174;"
                    Pixie Services France ";Paris;1 année; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/architecte-technique-1660174;['azure', 'sql', 'linux']
58;consultant-technico-fonctionnel-sap-sd-mm-mission-long-terme-1660137;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/consultant-technico-fonctionnel-sap-sd-mm-mission-long-terme-1660137;[]
59;data-platform-architect-1633287;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/data-platform-architect-1633287;['azure', 'anglais', ' sas']
60;integrateur-fonctionnel-s-hana-1659742;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/integrateur-fonctionnel-s-hana-1659742;['anglais']
61;mission-sap-ewm-1659646;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/mission-sap-ewm-1659646;['anglais', ' sas']
62;consultant-power-bi-1659415;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/consultant-power-bi-1659415;['tableau', 'power bi', 'azure', 'sql', 'anglais', ' sas']
63;developpeur-fullstack-net-asp-net-core-angular-1659315;"
                    Pixie Services France ";Paris;12 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/developpeur-fullstack-net-asp-net-core-angular-1659315;['java', 'azure', 'sql', 'agile', 'anglais', 'scrum', 'linux']
64;consultant-sac-epm-paris-1659104;"
                    Pixie Services France ";Paris;11 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/consultant-sac-epm-paris-1659104;['anglais']
65;consultant-active-directory-identity-1658233;"
                    Pixie Services France ";Paris;11 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/consultant-active-directory-identity-1658233;[]
66;architecte-integration-sirh-1658214;"
                    Pixie Services France ";Lyon;6 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/architecte-integration-sirh-1658214;['azure']
67;mission-sap-pp-paris-1658119;"
                    Pixie Services France ";Lyon;6 mois; Tarif non renseigné;04/02/2022;https://www.freelance-info.fr/mission/mission-sap-pp-paris-1658119;['anglais']
68;developpeur-react-native-1657916;"
                    Pixie Services France ";Toulouse;6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/developpeur-react-native-1657916;[]
69;mission-sap-sd-amoa-1657825;"
                    Pixie Services France ";Toulouse;6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/mission-sap-sd-amoa-1657825;['anglais', ' sas']
70;architecte-technique-1657558;"
                    Pixie Services France ";Grenoble;6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/architecte-technique-1657558;['gitlab', 'tableau', 'azure', 'sql', 'anglais', 'tableaux de bord', 'apache', 'tomcat', 'itil', 'mysql', 'mongodb', ' sas', 'linux']
71;developpeur-net-fullstack-net-core-1657507;"
                    Pixie Services France ";Grenoble;6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/developpeur-net-fullstack-net-core-1657507;['sql', ' sas']
72;tech-lead-net-core-fullstack-1657508;"
                    Pixie Services France ";Roubaix;3 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/tech-lead-net-core-fullstack-1657508;[' sas']
73;architecte-fonctionnel-1657115;"
                    Pixie Services France ";Roubaix;3 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/architecte-fonctionnel-1657115;['azure', 'agile', 'cartographie', ' sas']
74;uc-service-owner-1656955;"
                    Pixie Services France ";Toulouse;6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/uc-service-owner-1656955;[]
75;mission-long-terme-sap-data-migration-s-hana-1656934;"
                    Pixie Services France ";Toulouse;6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/mission-long-terme-sap-data-migration-s-hana-1656934;['anglais', ' sas']
76;devops-engineer-1656894;"
                    Pixie Services France ";La Défense;3 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/devops-engineer-1656894;['gitlab', 'aws', 'azure', 'ansible', 'terraform', 'grafana', 'zscaler']
77;devops-engineer-1656895;"
                    Pixie Services France ";La Défense;3 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/devops-engineer-1656895;['gitlab', 'aws', 'azure', 'ansible', 'terraform', 'grafana', 'zscaler']
78;ingenieur-systeme-et-reseaux-1656374;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/ingenieur-systeme-et-reseaux-1656374;[]
79;scrum-master-1656085;"
                    Pixie Services France ";Paris;6 mois; Tarif non renseigné;03/02/2022;https://www.freelance-info.fr/mission/scrum-master-1656085;['anglais', 'scrum']
